Started
Accelerometer sample rate = 119.00 Hz

Acceleration in G's
X	Y	Z
-0.50	0.69	0.25
-0.55	0.75	0.31
-0.52	0.73	0.26
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.26
-0.56	0.76	0.27
-0.55	0.76	0.26
-0.55	0.76	0.26
-0.56	0.76	0.27
-0.56	0.76	0.26
-0.56	0.76	0.27
-0.55	0.76	0.26
-0.55	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.26
-0.55	0.76	0.26
-0.55	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.27
-0.55	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.27
-0.55	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.26
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.26
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.27
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.27
-0.55	0.76	0.28
-0.55	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.27
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.27
-0.55	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.27
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.55	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.76	0.28
-0.56	0.78	0.24
-0.68	0.86	0.06
-0.70	1.01	0.03
-0.53	0.97	-0.02
-0.32	0.85	0.05
-0.50	0.65	0.23
-0.68	0.50	0.34
-0.55	0.55	0.44
-0.41	0.66	0.47
-0.52	0.72	0.45
-0.65	0.82	0.40
-0.66	0.91	0.37
