Temperature	Humidity
83.34	22.56
83.18	22.39
83.21	22.38
83.24	22.35
83.28	22.39
83.21	22.32
83.21	22.39
83.21	22.65
83.31	22.79
83.44	21.89
84.74	8.70
85.57	9.54
85.90	10.46
86.16	11.40
86.26	12.46
86.43	13.46
86.56	14.30
86.63	15.18
86.79	16.04
86.93	16.86
86.99	17.65
87.06	18.58
87.19	19.25
87.23	36.71
86.83	37.67
86.46	38.51
86.30	39.37
86.36	40.28
86.33	41.16
86.20	41.83
86.40	42.90
86.33	43.70
86.43	44.17
86.63	45.43
86.56	46.31
86.79	45.83
86.99	48.15
86.66	48.70
86.40	48.70
86.40	48.87
86.40	48.76
86.30	48.44
86.33	48.02
86.40	47.73
86.43	47.34
86.53	46.97
86.53	46.53
86.53	46.18
86.53	45.48
86.53	44.87
86.50	44.31
86.50	43.83
86.56	43.33
86.53	42.79
86.53	42.21
86.53	41.71
86.50	41.19
86.59	27.26
88.25	25.87
88.85	26.82
89.22	28.05
89.38	29.10
89.58	30.20
89.68	31.35
89.85	32.44
89.91	33.34
89.55	51.41
88.49	52.10
87.86	52.75
87.42	52.98
87.13	53.04
86.99	53.12
86.99	53.11
86.96	52.91
86.93	52.60
86.96	52.12
86.96	51.58
86.99	51.04
87.09	50.41
87.13	49.87
87.16	49.27
87.13	48.69
87.16	48.07
87.19	47.51
87.16	46.88
87.19	46.25
87.23	45.61
87.29	44.95
87.23	44.36
87.23	43.77
87.19	43.18
